time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.900000,0.8,-0.91,0.65,30.58,76.72,59.94
0.920000,0.76,-0.87,0.62,13.37,58.04,42.24
0.940000,0.73,-0.84,0.57,3.85,36.56,22.89
0.960000,0.72,-0.8,0.52,-3.17,16.24,4.33
0.980000,0.73,-0.75,0.47,-8.24,-0.18,-10.44
1.000000,0.73,-0.71,0.42,-12.08,-10.62,-19.65
1.020000,0.73,-0.68,0.4,-16.78,-16.48,-25.21
1.040000,0.75,-0.65,0.39,-26.12,-20.2,-30.7
1.060000,0.77,-0.65,0.4,-26.0,-22.28,-31.92
1.080000,0.79,-0.65,0.41,-23.62,-27.22,-34.18
1.100000,0.81,-0.66,0.43,-20.69,-34.55,-36.56
1.120000,0.82,-0.7,0.48,-18.8,-42.11,-36.68
1.140000,0.82,-0.74,0.53,-23.19,-49.44,-36.62
1.160000,0.83,-0.78,0.56,-36.62,-57.31,-39.86
1.180000,0.85,-0.82,0.56,-68.85,-76.11,-51.64
1.200000,0.86,-0.85,0.6,-79.83,-84.05,-57.56
1.220000,0.87,-0.86,0.65,-87.83,-88.75,-63.54
1.240000,0.9,-0.86,0.7,-95.09,-93.14,-69.21
1.260000,0.92,-0.85,0.72,-103.45,-100.59,-71.78
1.280000,0.91,-0.85,0.74,-113.16,-109.13,-68.91
1.300000,0.83,-0.78,0.56,-36.62,-57.31,-39.86
1.320000,0.89,-0.85,0.77,-122.68,-115.23,-62.87
1.340000,0.86,-0.85,0.83,-131.1,-120.24,-59.2
1.360000,0.84,-0.83,0.85,-141.85,-127.26,-61.04
1.380000,0.83,-0.73,0.8,-152.04,-136.6,-64.27
1.400000,0.79,-0.61,0.73,-146.67,-149.84,-63.23
1.420000,0.7,-0.59,0.74,-118.77,-169.92,-60.79
1.440000,0.58,-0.67,0.84,-83.8,-194.58,-69.03
1.460000,0.49,-0.66,0.91,-62.38,-219.18,-125.85
1.480000,0.45,-0.52,0.86,-74.52,-205.32,-131.65
1.500000,0.37,-0.44,0.87,-83.98,-183.78,-106.75
1.520000,0.29,-0.43,0.9,-86.43,-166.93,-72.51
1.540000,0.2,-0.44,0.88,-84.72,-159.48,-51.33
1.560000,0.11,-0.42,0.84,-78.98,-156.07,-46.94
1.580000,0.06,-0.37,0.81,-74.04,-145.26,-46.45
1.600000,-0.01,-0.28,0.74,-83.44,-120.18,-24.41
1.620000,-0.09,-0.25,0.65,-92.83,-124.88,-13.12
1.640000,-0.17,-0.21,0.56,-96.68,-128.66,-8.06
1.660000,-0.22,-0.13,0.47,-87.77,-123.17,-8.12
1.680000,-0.25,-0.05,0.33,-70.62,-114.01,-7.75
1.700000,-0.32,-0.02,0.2,-50.6,-106.51,-1.04
1.720000,0.06,-0.37,0.81,-74.04,-145.26,-46.45
1.740000,-0.49,-0.07,0.1,-22.52,-69.82,14.1
1.760000,-0.53,-0.06,0.06,-17.82,-39.18,12.08
1.780000,-0.54,-0.05,0.03,-12.08,-10.13,7.93
1.800000,-0.53,-0.04,0.02,-3.3,13.98,5.62
1.820000,-0.51,-0.04,0.03,7.57,31.92,5.19
1.840000,-0.49,-0.05,0.06,20.39,46.63,5.68
1.860000,-0.45,-0.08,0.15,35.22,65.49,6.77
1.880000,-0.31,-0.17,0.5,53.77,117.37,14.65
1.900000,-0.24,-0.2,0.66,49.62,137.76,21.0
1.920000,-0.18,-0.21,0.73,40.47,148.74,25.21
1.940000,-0.12,-0.21,0.77,36.19,151.55,27.22
1.960000,-0.04,-0.22,0.82,41.63,152.1,30.58
1.980000,0.03,-0.23,0.83,50.96,150.51,36.38
2.000000,0.08,-0.24,0.77,56.82,140.87,42.66
2.020000,0.18,-0.3,0.62,62.01,121.28,56.46
2.040000,0.25,-0.38,0.65,70.25,127.08,63.66
2.060000,0.33,-0.46,0.73,74.58,138.92,67.26
2.080000,0.41,-0.51,0.81,70.62,154.05,64.82
2.100000,0.51,-0.52,0.86,67.14,168.21,56.88
2.120000,0.6,-0.53,0.89,74.83,171.81,47.91
2.140000,0.08,-0.24,0.77,56.82,140.87,42.66
2.160000,0.64,-0.57,0.89,88.2,164.0,42.48
2.180000,0.67,-0.6,0.84,90.76,154.42,43.09
2.200000,0.71,-0.58,0.75,80.69,150.51,48.89
2.220000,0.76,-0.56,0.63,72.39,151.06,55.36
2.240000,0.82,-0.57,0.54,78.31,145.63,56.82
2.260000,0.92,-0.65,0.56,101.2,134.52,55.73
2.280000,1.03,-0.79,0.71,135.56,130.49,59.27
2.300000,1.01,-0.93,0.94,167.79,123.72,65.55
2.320000,0.97,-0.87,0.82,153.44,109.37,60.85
2.340000,0.95,-0.81,0.68,146.61,87.28,55.05
2.360000,0.96,-0.79,0.57,156.25,63.6,55.73
2.380000,0.95,-0.82,0.5,174.44,45.41,65.31
2.400000,0.9,-0.9,0.49,190.37,33.45,79.77
2.420000,0.82,-1.01,0.54,190.98,27.04,93.26
2.440000,0.7,-1.05,0.55,91.74,45.78,99.91
2.460000,0.69,-0.95,0.46,22.83,57.86,85.51
2.480000,0.7,-0.85,0.37,-17.33,59.33,62.74
2.500000,0.7,-0.78,0.34,-23.38,50.96,38.51
2.520000,0.7,-0.76,0.36,-10.25,37.72,17.21
2.540000,0.71,-0.76,0.4,4.09,24.66,2.01
2.560000,0.82,-1.01,0.54,190.98,27.04,93.26
2.580000,0.72,-0.75,0.42,8.79,15.87,-5.37
2.600000,0.73,-0.73,0.41,2.2,10.93,-7.75
2.620000,0.73,-0.72,0.38,-8.91,5.31,-10.31
2.640000,0.73,-0.71,0.36,-16.78,-1.59,-14.4
2.660000,0.73,-0.7,0.35,-17.7,-8.18,-18.92
2.680000,0.74,-0.7,0.34,-14.1,-14.77,-24.23
2.700000,0.75,-0.69,0.33,-12.88,-21.18,-31.37
2.720000,0.8,-0.66,0.26,-29.42,-27.65,-43.03
2.740000,0.8,-0.65,0.26,-38.45,-27.59,-42.85
2.760000,0.8,-0.68,0.31,-41.32,-27.28,-39.86
2.780000,0.79,-0.75,0.42,-37.78,-28.56,-36.5
2.800000,0.78,-0.85,0.53,-34.55,-35.16,-37.78
2.820000,0.77,-0.94,0.62,-44.92,-45.72,-46.51
2.840000,0.78,-0.97,0.63,-76.42,-53.53,-59.45
2.860000,0.82,-0.91,0.56,-141.05,-63.17,-77.33
2.880000,0.82,-0.9,0.6,-149.29,-66.53,-76.23
2.900000,0.82,-0.89,0.67,-152.95,-66.65,-71.9
2.920000,0.83,-0.87,0.75,-156.19,-69.09,-68.66
2.940000,0.84,-0.86,0.82,-156.19,-78.49,-67.63
2.960000,0.84,-0.84,0.86,-153.99,-92.9,-67.38
2.980000,0.78,-0.97,0.63,-76.42,-53.53,-59.45
