time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000000,0.16,-0.42,0.63,-97.41,-144.53,-51.7
0.020000,0.11,-0.32,0.48,-99.85,-155.64,-58.65
0.040000,0.55,-0.7,1.01,-20.2,-159.97,-56.21
0.060000,-0.08,-0.2,0.31,-67.02,-167.42,-54.26
0.080000,-0.19,-0.14,0.23,-57.56,-156.98,-44.56
0.100000,-0.29,-0.08,0.11,-59.51,-139.95,-35.1
0.120000,-0.39,-0.05,0.0,-62.38,-116.58,-26.98
0.140000,-0.46,-0.03,-0.05,-59.02,-83.62,-20.2
0.160000,-0.51,-0.02,-0.04,-50.29,-44.25,-14.89
0.180000,-0.52,-0.04,0.0,-38.09,-9.03,-11.23
0.200000,-0.53,-0.02,0.06,-13.31,24.9,-5.98
0.220000,-0.52,-0.02,0.06,-0.31,33.87,-1.16
0.240000,-0.49,-0.06,0.12,15.32,50.72,6.04
0.260000,-0.43,-0.11,0.24,25.94,77.64,14.65
0.280000,-0.35,-0.14,0.34,25.39,106.57,22.95
0.300000,-0.25,-0.15,0.43,21.85,128.72,30.15
0.320000,-0.14,-0.18,0.54,27.83,143.68,36.01
0.340000,-0.03,-0.26,0.67,64.27,146.18,37.35
0.360000,0.01,-0.29,0.62,67.57,135.19,34.91
0.380000,0.1,-0.31,0.59,53.96,134.34,39.37
0.400000,0.21,-0.34,0.65,36.87,153.63,52.8
0.420000,0.3,-0.37,0.73,30.27,178.77,66.53
0.440000,0.38,-0.42,0.8,40.95,186.71,70.8
0.460000,-0.14,-0.18,0.54,27.83,143.68,36.01
0.480000,0.45,-0.5,0.87,63.9,176.76,65.19
0.500000,0.5,-0.58,0.92,82.76,163.64,57.13
0.520000,0.55,-0.61,0.92,83.07,156.25,52.98
0.540000,0.61,-0.6,0.89,70.62,154.91,53.89
0.560000,0.65,-0.59,0.84,62.38,155.7,53.96
0.580000,0.69,-0.58,0.77,67.02,151.67,47.97
0.600000,0.72,-0.59,0.71,83.31,139.83,39.43
0.620000,0.88,-0.66,0.64,108.09,124.76,34.42
0.640000,0.98,-0.72,0.7,119.38,125.73,39.37
0.660000,1.01,-0.79,0.81,142.09,124.51,47.97
0.680000,0.96,-0.86,0.86,155.03,114.44,54.69
0.700000,0.9,-0.85,0.8,132.45,101.87,56.95
0.720000,0.89,-0.78,0.65,85.69,96.8,57.37
0.740000,0.92,-0.7,0.49,50.23,96.92,59.14
0.760000,0.99,-0.7,0.37,65.31,91.86,69.03
0.780000,0.99,-0.77,0.41,94.85,88.81,75.68
0.800000,0.97,-0.87,0.5,119.63,86.73,81.42
0.820000,0.93,-0.96,0.61,122.5,87.46,84.35
0.840000,0.89,-0.99,0.67,97.78,89.9,82.28
0.860000,0.85,-0.96,0.68,60.79,87.65,73.85
0.880000,0.92,-0.7,0.49,50.23,96.92,59.14
