time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000000,0.7,-0.81,0.6,10.01,21.79,17.4
0.020000,0.7,-0.8,0.61,3.6,5.0,-1.1
0.040000,0.7,-0.77,0.6,-5.0,-10.62,-17.27
0.060000,0.72,-0.69,0.51,-21.55,-32.84,-34.12
0.080000,0.72,-0.7,0.53,-25.63,-38.51,-36.8
0.100000,0.72,-0.73,0.59,-28.63,-40.65,-39.86
0.120000,0.73,-0.77,0.67,-33.33,-43.03,-45.72
0.140000,0.75,-0.8,0.72,-41.14,-49.87,-55.24
0.160000,0.77,-0.8,0.71,-52.12,-63.11,-69.34
0.180000,0.7,-0.77,0.6,-5.0,-10.62,-17.27
0.200000,0.82,-0.75,0.66,-75.87,-86.79,-97.05
0.220000,0.83,-0.72,0.67,-88.81,-84.78,-97.53
0.240000,0.83,-0.67,0.69,-104.13,-78.25,-88.13
0.260000,0.83,-0.62,0.69,-120.67,-75.93,-74.52
0.280000,0.81,-0.57,0.66,-133.91,-81.3,-60.67
0.300000,0.77,-0.54,0.61,-135.62,-91.06,-48.03
0.320000,0.72,-0.53,0.58,-123.11,-100.4,-38.33
0.340000,0.65,-0.55,0.64,-107.91,-95.89,-27.22
0.360000,0.62,-0.49,0.63,-118.41,-81.67,-22.09
0.380000,0.61,-0.41,0.68,-117.25,-74.77,-23.99
0.400000,0.6,-0.38,0.75,-99.3,-73.0,-39.79
0.420000,0.58,-0.44,0.65,-77.7,-62.74,-64.82
0.440000,0.53,-0.53,0.45,-62.68,-60.73,-85.94
0.460000,0.46,-0.58,0.51,-48.16,-96.19,-93.02
0.480000,0.34,-0.52,0.88,-33.26,-146.73,-73.12
0.500000,0.3,-0.46,0.75,-38.45,-111.76,-65.61
0.520000,0.24,-0.46,0.58,-43.4,-86.36,-73.3
0.540000,0.18,-0.47,0.53,-48.16,-90.27,-84.66
0.560000,0.14,-0.42,0.55,-45.65,-104.37,-82.58
0.580000,0.11,-0.39,0.6,-46.51,-112.3,-71.41
0.600000,0.46,-0.58,0.51,-48.16,-96.19,-93.02
0.620000,0.07,-0.38,0.64,-86.18,-111.39,-58.17
0.640000,-0.01,-0.31,0.63,-163.82,-99.79,-44.19
0.660000,-0.19,-0.25,0.56,-212.65,-86.91,-46.26
0.680000,-0.3,-0.29,0.54,-177.0,-92.53,-76.97
0.700000,-0.23,-0.27,0.64,-134.16,-112.24,-103.03
0.720000,-0.13,-0.07,0.88,-131.65,-122.5,-92.83
0.740000,-0.13,0.06,1.13,-79.83,-105.16,-70.31
0.760000,-0.3,-0.06,0.99,19.96,15.2,-58.84
0.780000,-0.3,-0.02,0.77,17.03,52.25,-58.17
0.800000,-0.26,-0.01,0.69,30.15,39.55,-67.38
0.820000,-0.24,-0.09,0.75,65.25,7.39,-82.64
0.840000,-0.28,-0.22,0.89,99.55,-13.43,-83.07
0.860000,-0.32,-0.29,0.87,116.27,-13.73,-55.48
0.880000,-0.3,-0.23,0.78,98.51,-12.57,-16.78
0.900000,-0.24,-0.09,0.76,15.08,-45.65,9.22
0.920000,-0.32,-0.08,0.81,-21.12,-53.71,-8.91
0.940000,-0.36,-0.11,0.85,-32.1,-46.63,-42.54
0.960000,-0.4,-0.08,0.84,-23.38,-21.79,-71.72
0.980000,-0.38,-0.04,0.82,-20.45,31.31,-83.62
1.000000,-0.26,-0.04,0.93,-11.72,105.16,-75.68
1.020000,-0.3,-0.23,0.78,98.51,-12.57,-16.78
1.040000,-0.2,-0.03,1.08,13.85,145.02,-44.98
1.060000,-0.16,-0.05,1.09,46.75,121.34,4.94
1.080000,-0.13,-0.12,1.0,70.37,70.62,49.44
1.100000,-0.17,-0.18,0.95,65.73,35.58,60.0
1.120000,-0.16,-0.2,1.02,33.94,28.63,35.4
1.140000,-0.17,-0.19,1.09,-6.9,22.28,-2.14
1.160000,-0.22,-0.17,1.05,-32.1,-0.61,-24.78
1.180000,-0.08,-0.26,1.01,2.01,45.35,-7.87
1.200000,-0.06,-0.3,1.06,15.14,65.73,-10.68
1.220000,-0.13,-0.29,1.08,10.68,50.72,-22.03
1.240000,-0.19,-0.29,1.07,6.29,23.5,-27.47
1.260000,-0.19,-0.32,1.0,9.58,2.69,-28.5
1.280000,-0.13,-0.32,0.95,8.67,-8.3,-38.02
1.300000,-0.12,-0.25,1.01,-4.27,-10.99,-56.21
1.320000,-0.16,-0.18,1.15,-25.45,6.35,-58.9
1.340000,-0.17,-0.29,1.05,-20.63,10.86,-48.16
1.360000,-0.13,-0.39,0.93,-0.92,4.27,-49.62
1.380000,-0.1,-0.36,0.96,11.54,5.98,-63.84
1.400000,-0.13,-0.25,1.1,-17.7,42.91,-77.58
1.420000,-0.11,-0.15,1.1,-62.13,87.4,-82.58
1.440000,-0.12,-0.25,1.01,-4.27,-10.99,-56.21
1.460000,-0.03,-0.13,0.95,-66.16,87.22,-86.98
1.480000,0.1,-0.14,0.83,-18.49,30.33,-94.24
1.500000,0.05,-0.19,1.03,50.11,-74.34,-91.25
1.520000,-0.13,-0.16,1.23,67.81,-119.26,-56.15
1.540000,-0.16,-0.09,1.17,35.77,-36.93,4.39
1.560000,-0.12,-0.17,1.12,26.43,52.49,56.58
1.580000,-0.11,-0.25,1.02,41.99,63.05,74.16
1.600000,-0.08,-0.28,0.95,54.32,21.67,21.0
1.620000,-0.06,-0.22,0.96,45.59,24.78,-2.87
1.640000,-0.04,-0.2,0.93,44.31,33.81,-11.72
1.660000,-0.04,-0.25,0.93,50.23,52.86,-5.55
1.680000,-0.03,-0.29,0.99,30.58,62.81,17.88
1.700000,0.01,-0.23,1.08,-21.36,29.36,52.8
1.720000,0.06,-0.2,1.11,-38.76,-14.04,70.86
1.740000,0.04,-0.28,0.95,49.32,-10.07,32.04
1.760000,0.04,-0.32,0.89,60.85,-1.1,15.38
1.780000,0.03,-0.33,0.87,39.86,0.37,5.43
1.800000,0.01,-0.32,0.89,7.51,0.92,-0.18
1.820000,0.0,-0.3,0.94,-21.42,0.06,-0.61
1.840000,0.01,-0.27,0.98,-36.32,-0.98,0.79
1.860000,0.06,-0.2,1.11,-38.76,-14.04,70.86
1.880000,0.01,-0.25,1.0,-24.96,-1.53,-0.79
1.900000,0.01,-0.24,0.99,-12.7,-1.1,-2.26
1.920000,0.0,-0.24,0.98,-3.36,0.06,-2.62
1.940000,0.01,-0.25,0.98,1.65,1.1,-1.4
1.960000,0.01,-0.25,0.97,2.38,1.34,0.06
1.980000,0.01,-0.25,0.97,1.65,0.85,0.43
2.000000,0.01,-0.26,0.97,-0.49,0.37,0.18
2.020000,0.01,-0.25,0.97,0.12,0.12,0.0
2.040000,0.01,-0.26,0.96,5.37,0.55,0.12
2.060000,0.01,-0.26,0.96,4.82,0.98,0.24
2.080000,0.01,-0.25,0.97,-1.1,0.61,0.37
2.100000,0.01,-0.25,0.97,-3.23,0.12,0.24
2.120000,0.0,-0.33,1.01,-4.52,-1.1,-0.67
2.140000,-0.09,-0.45,1.08,-8.85,-11.35,-18.68
2.160000,-0.2,-0.42,0.62,79.59,86.36,-57.62
2.180000,-0.12,-0.34,0.69,0.85,51.03,40.95
2.200000,0.06,-0.11,1.12,-131.71,-49.87,163.51
2.220000,0.22,0.14,1.3,-137.57,-84.11,203.55
2.240000,0.23,0.15,1.13,-13.18,-60.06,145.14
2.260000,0.14,-0.04,1.0,59.94,-28.02,64.94
2.280000,0.05,-0.22,0.98,53.04,-8.18,20.51
2.300000,0.04,-0.32,0.9,18.68,2.2,-5.0
2.320000,0.02,-0.28,0.9,-4.64,7.26,-21.0
2.340000,-0.02,-0.21,0.97,-32.59,12.57,-30.27
2.360000,0.22,0.14,1.3,-137.57,-84.11,203.55
2.380000,0.23,0.15,1.13,-13.18,-60.06,145.14
2.400000,0.14,-0.04,1.0,59.94,-28.02,64.94
2.420000,0.05,-0.22,0.98,53.04,-8.18,20.51
2.440000,-0.02,-0.18,1.03,-39.86,14.65,-23.56
2.460000,0.01,-0.19,1.02,-19.29,8.48,-8.79
2.480000,0.02,-0.21,0.99,3.17,-1.4,1.04
2.500000,0.02,-0.22,0.98,11.17,-6.1,3.11
2.520000,0.03,-0.22,0.97,9.09,-5.13,1.4
2.540000,0.02,-0.22,0.98,3.78,-2.26,-0.92
2.560000,0.02,-0.22,0.98,0.18,-0.18,-3.78
2.580000,-0.0,-0.22,0.96,-0.55,2.2,-6.71
2.600000,0.01,-0.22,0.99,-2.08,3.36,-2.5
2.620000,0.02,-0.22,1.0,-2.2,3.11,1.77
2.640000,0.02,-0.22,0.98,0.85,0.67,3.72
2.660000,0.02,-0.22,0.97,2.62,-1.46,3.78
2.680000,0.02,-0.22,0.97,1.46,-0.98,2.26
2.700000,0.02,-0.22,0.98,0.06,0.18,0.37
2.720000,0.01,-0.22,0.98,-0.18,0.55,-0.85
2.740000,0.01,-0.22,0.98,-0.12,0.67,-0.55
2.760000,0.02,-0.22,0.98,0.24,0.61,-0.18
2.780000,0.02,-0.22,0.97,0.79,0.37,-0.06
2.800000,0.02,-0.22,0.97,0.67,0.18,-0.06
2.820000,0.02,-0.21,0.98,-0.12,0.43,-0.06
2.840000,0.02,-0.21,0.98,-0.43,0.73,0.0
2.860000,0.02,-0.22,0.98,-0.18,0.43,0.0
2.880000,0.02,-0.22,0.98,-0.06,0.24,-0.12
2.900000,0.01,-0.23,0.98,0.24,-0.06,-0.24
2.920000,0.01,-0.22,0.97,0.18,-0.0,-0.18
2.940000,0.02,-0.22,0.97,0.67,0.18,-0.06
2.960000,0.02,-0.21,0.98,-0.12,0.43,-0.06
2.980000,0.02,-0.21,0.98,-0.43,0.73,0.0
