time_s,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000000,0.46,-0.8,0.32,8.06,37.54,-0.06
0.020000,0.47,-0.83,0.29,15.32,27.47,4.09
0.040000,0.43,-0.88,0.22,21.42,11.66,9.46
0.060000,0.44,-0.9,0.27,-20.45,57.62,-1.46
0.080000,0.46,-0.87,0.26,-25.94,55.11,-2.44
0.100000,0.47,-0.83,0.23,-27.22,47.73,-1.59
0.120000,0.47,-0.81,0.19,-24.11,39.86,1.46
0.140000,0.46,-0.82,0.16,-17.09,33.57,5.25
0.160000,0.46,-0.83,0.15,-9.16,30.03,8.42
0.180000,0.46,-0.84,0.15,-3.72,29.54,11.11
0.200000,0.46,-0.84,0.15,-0.98,31.68,16.11
0.220000,0.47,-0.83,0.15,-1.1,32.41,18.01
0.240000,0.48,-0.83,0.15,-0.06,32.78,20.2
0.260000,0.49,-0.83,0.16,2.99,32.71,22.77
0.280000,0.5,-0.84,0.18,6.59,31.92,24.84
0.300000,0.52,-0.84,0.2,8.3,30.76,26.49
0.320000,0.53,-0.83,0.2,7.51,29.17,28.38
0.340000,0.54,-0.84,0.19,5.62,23.8,34.61
0.360000,0.54,-0.85,0.18,6.23,21.3,37.17
0.380000,0.54,-0.87,0.19,6.47,19.47,38.15
0.400000,0.54,-0.87,0.19,4.76,18.74,37.78
0.420000,0.55,-0.87,0.18,0.92,18.86,36.87
0.440000,0.56,-0.86,0.17,-3.78,19.04,35.95
0.460000,0.57,-0.84,0.16,-7.63,18.74,34.97
0.480000,0.59,-0.82,0.13,-8.79,15.75,33.87
0.500000,0.59,-0.81,0.13,-6.47,13.73,33.26
0.520000,0.61,-0.81,0.13,-3.6,12.27,32.65
0.540000,0.62,-0.81,0.14,-0.0,10.44,32.53
0.560000,0.55,-0.87,0.18,0.92,18.86,36.87
0.580000,0.56,-0.86,0.17,-3.78,19.04,35.95
0.600000,0.57,-0.84,0.16,-7.63,18.74,34.97
0.620000,0.61,-0.83,0.16,5.19,6.96,32.71
0.640000,0.61,-0.84,0.17,10.44,2.32,31.8
0.660000,0.61,-0.85,0.17,13.0,-1.77,29.48
0.680000,0.61,-0.86,0.16,12.82,-4.88,26.79
0.700000,0.61,-0.86,0.15,12.02,-7.69,24.11
0.720000,0.61,-0.86,0.15,12.33,-10.31,21.18
0.740000,0.61,-0.87,0.15,13.73,-13.18,18.07
0.760000,0.59,-0.87,0.15,15.38,-19.53,10.25
0.780000,0.59,-0.86,0.14,14.34,-21.0,5.0
0.800000,0.61,-0.85,0.15,13.18,-21.24,-0.37
0.820000,0.62,-0.83,0.17,12.82,-21.48,-4.52
0.840000,0.64,-0.8,0.17,12.7,-22.77,-7.2
0.860000,0.66,-0.75,0.14,16.11,-26.86,-9.16
0.880000,0.67,-0.72,0.11,34.67,-38.82,-11.84
0.900000,0.62,-0.82,0.17,87.4,-70.31,-16.97
0.920000,0.62,-0.84,0.18,76.17,-65.67,-16.72
0.940000,0.62,-0.82,0.16,44.68,-49.5,-15.5
0.960000,0.64,-0.79,0.13,14.77,-32.59,-14.53
0.980000,0.65,-0.77,0.12,-3.85,-20.51,-14.16
1.000000,0.65,-0.77,0.12,-14.34,-12.21,-13.98
